item_id,item_name ,details,category,seller_id,stock_count,sold_count,price_each
1,Echo Dot,Meet Echo Dot - Our most compact smart speaker that fits perfectly into small spaces. Improved speaker quality - Better speaker quality than Echo Dot Gen 2 for richer and louder sound. Pair with a second Echo Dot for stereo sound.,"Amazon Devices, Accessories
",2,304,58,29.99
2,Commercial Ice Machine,"This air cooled ice machine combines impressive ice production, user-friendly controls, and simple maintenance in a space-saving undercounter package. With a wide range of features, from an LED push pad control panel, to an ergonomic scoop with a comfort grip handle/ holder that can be mounted on either side of the machine, this ice cube machine is perfect for any commercial kitchen, banquet hall, or hotel.",Appliances,1,23,7,169.99
3,Proctor Silex Plate,"Adjustable Temperature, Compact and Portable",Appliances,5,92,23,35.99
4,Geometry Dash,"Listen to the rhythm in Geometry Dash and control the square block to avoid obstacles. Get ready for breath-taking challenges in the world of cube! Geometry Dash will always be popular among gamers because of its unique and attractive gameplay as well as the difficulty that will increase with each level. This game is the year's latest endless run version that impresses players with its user interface and vibrant level colors. Players in Geometry Dash can quickly take control of the game by altering their moves to avoid obstacles. However, in order to overcome all barriers, players must use speed, time, and skill, which is what makes Geometry Dash more appealing.",Apps & Games,3,68,84,1.99
5,The Sandman: Act II,"When the Sandman, aka Dream, the cosmic being who controls all dreams, is captured and held prisoner for more than a century, he must journey across different worlds and timelines to fix the chaos his absence has caused.",Audible Books ,4,342,342,0.99
6,COMFEE' Portable Dishwasher,"Mini Dishwasher with 5L Built-in Water Tank, No Hookup Needed",Appliances,2,533,3,369.99
7,Diapers,"Pampers Swaddlers Overnights Disposable Baby Diapers,",Baby,5,700,302,26.99
8,Baby Wipes,"Pampers Aqua Pure Sensitive Water Baby Diaper Wipes, Hypoallergenic and Unscented",Baby,1,632,107,12.5
9,SPACEKEEPER Furniture Dolly Mobile Roller,Extendable Appliance Rollers Mobile Washing Machine Base,Appliances,4,32,17,24.99
10,Five Nights at Freddy's,"Five Nights at Freddy's is a media franchise created by Scott Cawthon. The first video game of the same name was released on August 8, 2014, and the resultant series has since gained worldwide popularity.",Apps & Games,6,436,682,2.99
11,Coquimbo Sewing Kit,"Coquimbo Sewing Kit for Traveler, Adults, Beginner, Emergency, DIY Sewing Supplies Organizer Filled ...","Arts, Crafts & Sewing",1,78,16,9.99
12,Bloons TD 6,"A 2018 tower defense video game and the sixth game in the Bloons TD series, developed and published by Ninja Kiwi. It was first released in June 2018 for iOS and Android. The game was later ported onto Steam, first released on Microsoft Windows in December 2018 and later on macOS in March 2020.",Apps & Games,6,92,143,4.99
